,LINE_ID,CHARACTER_ID,MOVIE_ID,CHARACTER_NAME,UTTERANCE
72819,L395536,u2176,m140,MAC,"Good! Good!  Stay there. Don't show your face down here. I'll tell everybody you're on your vacation. They'll never know where the stories are coming from. Stick close to him, Babe - you can get an exclusive story out of him every day for a month. We'll have the other papers crazy.  Babe, I could kiss you!"
72820,L395535,u2157,m140,BABE,I even moved into Mabel Dawson's apartment - in case old snoopy Cobb might start looking around.
72821,L395534,u2176,m140,MAC,"You're a genius, Babe - a genius!"
72822,L395533,u2157,m140,BABE,"Tonight, maybe.  I'll phone him at noon.  Oh, my lunch hour. I'm a stenographer, you know. Mary Dawson."
72823,L395532,u2176,m140,MAC,When're you going to see him again?
72824,L395531,u2157,m140,BABE,I don't know. I had to duck to get the story out. He was so far along he never even missed me.
72825,L395530,u2176,m140,MAC,"Marvelous!  ""At two o'clock this morning, Mr. Deeds tied up traffic while he fed a bagful of doughnuts to a horse. When asked why he was doing it, he replied: 'I just wanted to see how many doughnuts this horse would eat before he'd ask for a cup of coffee.'""  Beautiful! What happened after that?"
72826,L395529,u2157,m140,BABE,Had the boys follow us.
72827,L395528,u2176,m140,MAC,How'd you get the picture?
72828,L395527,u2157,m140,BABE,"If we could sell tickets, we'd make a fortune."
72829,L395526,u2176,m140,MAC,"Cinderella Man! Babe, you stuck a tag on that hick that'll stick to him the rest of his life. Can you imagine Cobb's face when he reads this?"
72830,L395525,u2157,m140,BABE,He's the original. There are no carbon copies of that one.
72831,L395524,u2176,m140,MAC,Is he really that big a sap?
72832,L395523,u2157,m140,BABE,I was the world's sweetest ingenue.
72833,L395522,u2176,m140,MAC,Did it?
72834,L395521,u2157,m140,BABE,"It took some high-powered acting, believe me."
72835,L395520,u2176,m140,MAC,"Cinderella Man! That's sensational, Babe! Sensational!"
72836,L395206,u2157,m140,BABE,Have lunch.
72837,L395205,u2176,m140,MAC,"Now you're talking, Babe. I'll keep the whole front page open. What are you going to do?"
72838,L395204,u2157,m140,BABE,Leave four columns open on the front page tomorrow.
72839,L395203,u2176,m140,MAC,Uh-huh.
72840,L395202,u2157,m140,BABE,With pay!
72841,L395201,u2176,m140,MAC,With pay!
