,LINE_ID,CHARACTER_ID,MOVIE_ID,CHARACTER_NAME,UTTERANCE
290490,L628004,u8633,m586,CLARENCE,I finally knew what I wanted when I grew up.
290491,L628003,u8631,m586,ALABAMA,"Oh, you look so cute as little Elvis."
290492,L628002,u8633,m586,CLARENCE,Five.
290493,L628001,u8631,m586,ALABAMA,"Oooooh, you look so cute in your little cowboy outfit. How old were you then?"
290494,L627996,u8633,m586,CLARENCE,"He was just born, remember? This is the first one. You know that guy, Dr. Gene Scott? He said that the story of Spiderman is the story of Christ, just disguised. Well, I thought about that even before I heard him say it. Hold on, let me show you my favorite comic book cover of all time."
290495,L627995,u8631,m586,ALABAMA,"God, Spiderman looks different."
290496,L627993,u8633,m586,CLARENCE,"That's a ""Rookies"" doll. George Sanford Brown. We gotta lotta dolls. They're real cool. Did you know they came out with dolls for all the actors in ""The Black Hole""? I always found it funny somewhere there's a kid playin' with a little figure of Earnest Borgnine."
290497,L627992,u8631,m586,ALABAMA,What's that?
290498,L627991,u8633,m586,CLARENCE,"Well, we sell other things too. Cool stuff. ""Man from U.N.C.L.E."" Lunch boxes. ""Green Hornet"" board games. Shit like that. But comic books are main business. There's a lot of collectors around here."
290499,L627990,u8631,m586,ALABAMA,I didn't even know they had stores that just sold comic books.
290500,L627989,u8633,m586,CLARENCE,Four hundred bucks.
290501,L627988,u8631,m586,ALABAMA,You bet. How much is that worth?
290502,L627987,u8633,m586,CLARENCE,"That's where trouble comes into paradise. But the boss let's you borrow some money if you need it. Wanna see what ""Spiderman"" number one looks like?"
290503,L627986,u8631,m586,ALABAMA,Do you get paid a lot?
290504,L627985,u8633,m586,CLARENCE,"I'm hip. But you know, I'm comfortable here. It's easy work. I know what I'm doing. Everybody who works here is my buddy. I'm friendly with most of the customers. I just hang around and talk about comic books all day."
290505,L627984,u8631,m586,ALABAMA,That's a long time.
290506,L627983,u8633,m586,CLARENCE,Almost four years.
290507,L627982,u8631,m586,ALABAMA,How long have you worked here?
290508,L627981,u8633,m586,CLARENCE,"Yeah, I got the key, so I come here at night, hang out, read comic books, play music."
290509,L627980,u8631,m586,ALABAMA,Wow. What a swell place to work.
290510,L627978,u8631,m586,ALABAMA,"Because you looked like a nice guy, and I was a little scared. And I sure couldda used a nice guy about that time, so I spilled my popcorn on you."
290511,L627977,u8633,m586,CLARENCE,"And in a theater full of empty seats, why did you sit by me?"
290512,L627976,u8631,m586,ALABAMA,"Apparently, I was hit on the head with something really heavy, giving me a form of amnesia. When I came to, I didn't know who I was, where I was, or where I came from. Luckily, I had my driver's license or I wouldn't even know my name. I hoped it would tell me where I lived but it had a Tallahassee address on it, and I stopped somebody on the street and they told me I was in Detroit. So that was no help. But I did have some money on me, so I hopped in a cab until I saw somethin' that looked familiar. For some reason, and don't ask me why, that theater looked familiar. So I told him to stop and I got out."
290513,L627975,u8633,m586,CLARENCE,What's the story behind you takin' a cab to the most dangerous part of town alone?
290514,L627974,u8631,m586,ALABAMA,I'm not sure yet. Ask me again later.
290515,L627973,u8633,m586,CLARENCE,Do you have a fella?
290516,L627972,u8631,m586,ALABAMA,"I'm sure there must be something, but I don't really remember. The only thing that comes to mind are Persians."
290517,L627971,u8633,m586,CLARENCE,Turn-offs?
290518,L627970,u8631,m586,ALABAMA,"Mickey Rourke, somebody who can appreciate the finer things in life, like Elvis's voice, good kung fu, and a tasty piece of pie."
290519,L627969,u8633,m586,CLARENCE,What are your turn-ons?
290520,L627968,u8631,m586,ALABAMA,"Phil Spector. Girl group stuff. You know, like ""He's a Rebel""."
290521,L627967,u8633,m586,CLARENCE,What kinda music do you like?
290522,L627966,u8631,m586,ALABAMA,"Very much. Now, where were we?"
290523,L627965,u8633,m586,CLARENCE,Like it?
290524,L627964,u8631,m586,ALABAMA,"Yes, I would."
290525,L627963,u8633,m586,CLARENCE,Would you like a bite of my pie?
290526,L627962,u8631,m586,ALABAMA,Burt Reynolds.
290527,L627961,u8633,m586,CLARENCE,What's your favorite movie star?
290528,L627960,u8631,m586,ALABAMA,"I don't remember. But off the top of my head, I'd say black."
290529,L627959,u8633,m586,CLARENCE,What's your favorite color?
290530,L627958,u8631,m586,ALABAMA,Might be from Tallahassee. But I'm not sure yet.
290531,L627957,u8633,m586,CLARENCE,Where are you from.
290532,L627956,u8631,m586,ALABAMA,I don't remember.
290533,L627955,u8633,m586,CLARENCE,What do you do?
290534,L627954,u8631,m586,ALABAMA,Ask me them again. One by one.
290535,L627953,u8633,m586,CLARENCE,"Well, for starters, what do you do? Where're ya from? What's your favorite color? Who's your favorite movie star? What kinda music do you like? What are your turn-ons and turn-offs? Do you have a fella? What's the story behind you takin' a cab to the most dangerous part of town alone? And, in a theater full of empty seats, why did you sit by me?"
290536,L627952,u8631,m586,ALABAMA,What do you want to know?
290537,L627951,u8633,m586,CLARENCE,C'mon. What're ya tryin' to be? The Phantom Lady?
290538,L627950,u8631,m586,ALABAMA,There's nothing to tell.
290539,L627949,u8633,m586,CLARENCE,Tell me about yourself.
290540,L627948,u8631,m586,ALABAMA,How 'bout me what?
290541,L627947,u8633,m586,CLARENCE,"Well, enough about the King. How about you?"
290542,L627946,u8633,m586,CLARENCE,I'd love some pie.
290543,L627945,u8631,m586,ALABAMA,Would you like to get some pie?
290544,L627944,u8633,m586,CLARENCE,I love to get pie after a movie.
290545,L627943,u8631,m586,ALABAMA,"Well, it's just when I see a really good movie I really like to go out and get some pie, and talk about it. It's sort of tradition. Do you like to eat pie after you've seen a good movie?"
290546,L627942,u8633,m586,CLARENCE,No. Not particularly.  How come?
290547,L627941,u8631,m586,ALABAMA,"I suppose you gotta get up early, huh?"
290548,L627940,u8633,m586,CLARENCE,'Bout twelve.
290549,L627939,u8631,m586,ALABAMA,What time is it?
290550,L627938,u8633,m586,CLARENCE,Nothing. It's just you're a girl after my own heart.
290551,L627937,u8631,m586,ALABAMA,Sure. Why not?
290552,L627936,u8633,m586,CLARENCE,You took a cab to see three kung fu movies?
290553,L627935,u8631,m586,ALABAMA,I took a cab.
290554,L627934,u8633,m586,CLARENCE,Where's your car? I'll walk you to it.
290555,L627932,u8631,m586,ALABAMA,"That's my real name, really. I got proof. See."
290556,L627931,u8633,m586,CLARENCE,Is that your real name? Really?
290557,L627930,u8631,m586,ALABAMA,Alabama Whitman. Pleased to meet ya.
290558,L627929,u8633,m586,CLARENCE,"My name is Clarence, and what is yours?"
290559,L627928,u8631,m586,ALABAMA,"If that was the R, I'd love to see the X."
290560,L627927,u8633,m586,CLARENCE,"You shoulda saw the first original uncut version of the ""Streetfighter"". It was the only movie up to that time rated X for violence. But we just saw the R."
290561,L627926,u8631,m586,ALABAMA,Sonny kicks ass.
290562,L627925,u8633,m586,CLARENCE,Does Sonny kick ass or does Sonny kick ass?
290563,L627924,u8631,m586,ALABAMA,Great movie. Action-packed!
290564,L627923,u8633,m586,CLARENCE,"He ain't so much good guy as he's just a bad motherfucker. Sonny don't be bullshittin'. He fucks dudes up for life. Hold on, a fight scene's coming up."
290565,L627922,u8631,m586,ALABAMA,I thought Sonny was the good guy.
290566,L627921,u8633,m586,CLARENCE,Thanks a lot.
290567,L627920,u8631,m586,ALABAMA,Want some Goobers?
290568,L627919,u8633,m586,CLARENCE,"The oriental in black. He's an assasin. Now, at the beginning he was hired to kill this guy the cops had. So he got himself arrested. They take him into the police station. And he starts kickin' all the cops' asses. Now, while keepin' them at bay, he finds the guy he was supposed to kill. Does a number on him. Kicks the cops' asses some more. Kicks the bars out of the window. And jumps out into a getaway car that was waiting for him."
290569,L627918,u8631,m586,ALABAMA,The oriental.
290570,L627917,u8633,m586,CLARENCE,"Not at all. I, this guy here, he's Sonny Chiba."
290571,L627915,u8631,m586,ALABAMA,What a wonderful philosophy. Thanks for being such a sweetheart. You could have been a real dick.
290572,L627914,u8633,m586,CLARENCE,It's OK. Don't worry about it. Accidents happen.
290573,L627913,u8631,m586,ALABAMA,I'm the clumsiest person in the world.
290574,L627912,u8633,m586,CLARENCE,Yeah. I'm fine. It didn't hurt.
290575,L627911,u8631,m586,ALABAMA,"Oh, look what happened. Oh god, I'm so sorry. Are you OK?"
290576,L627885,u8633,m586,CLARENCE,And here we are.
290577,L627884,u8631,m586,ALABAMA,"... when my mom went into labor, my dad panicked. He never had a kid before, and crashed the car. Now, picture this: their car's demolished, crowd is starting to gather, my mom is yelling, going into contractions, and my dad, who was losing it before, is now completely screaming yellow zonkers. Then, out of nowhere, as if from thin air, this big giant bus appears, and the bus-driver says, ""Get her in here."". He forgot all about his route and just drove straight to the hospital. So, because he was such a nice guy, they wanted to name the baby after him, as a sign of gratitude. Well, his name was Waldo, and no matter how grateful they were, even if I'da been a boy, they would't call me Waldo. So they asked Waldo where he was from. And, so there you go."
290578,L627847,u8633,m586,CLARENCE,Now hang up.
290579,L627846,u8631,m586,ALABAMA,Bye-bye.
290580,L627843,u8631,m586,ALABAMA,"He can't. We gotta go, but he wants you to read the letter. The letter explains it all. He wants you to know he loves you. And he wants you to know that as of tomorrow, all of your money problems are over."
290581,L627842,u8633,m586,CLARENCE,"No time. Gotta go. Just tell him to read the letter, the letter explains all. Tell him I love him. And tell him, as of tomorrow, all his money problems are over."
290582,L627839,u8631,m586,ALABAMA,Get it.
290583,L627838,u8633,m586,CLARENCE,Tell him to look through it.
290584,L627835,u8631,m586,ALABAMA,Ya looked through it?
290585,L627834,u8633,m586,CLARENCE,Has he looked through it yet?
290586,L627828,u8631,m586,ALABAMA,The letter he sent.
290587,L627827,u8633,m586,CLARENCE,The letter I sent.
290588,L627821,u8631,m586,ALABAMA,Don't eat anything.
290589,L627820,u8633,m586,CLARENCE,Tell him not to eat anything. We're gonna scarf when we get there.
290590,L627815,u8631,m586,ALABAMA,Clarence says we gotta be hittin' it.
290591,L627814,u8633,m586,CLARENCE,Tell him we gotta go.
290592,L627792,u8631,m586,ALABAMA,"Oh, hush up."
290593,L627791,u8633,m586,CLARENCE,What kind of daughterly smackeroo was that?
290594,L627790,u8631,m586,ALABAMA,"Bye, Daddy! Hope to see you again real soon."
290595,L627760,u8631,m586,ALABAMA,It's nine o'clock in the morning. Nothing's open.
290596,L627759,u8633,m586,CLARENCE,How come?
290597,L627758,u8631,m586,ALABAMA,I didn't get any chicken.
290598,L627757,u8633,m586,CLARENCE,Thank God. I could eat a horse if you slap enough catsup on it.
290599,L627756,u8631,m586,ALABAMA,The forager's back.
290600,L627719,u8631,m586,ALABAMA,"Okee-dokee, Doggie-Daddy."
290601,L627718,u8633,m586,CLARENCE,"This should cover it, Auggie-Doggie."
290602,L627713,u8633,m586,CLARENCE,"Well, fuck that shit, we'll get some real food. What would taste good.  What do you think would taste good?"
290603,L627712,u8631,m586,ALABAMA,I'm pretty hungry. When I went to the store I was gonna get some Ding-Dongs.
290604,L627697,u8639,m586,DREXL,"In fact, I'm gonna show you what I mean with a little demonstration. Big D, toss me that shotgun."
290605,L627696,u8632,m586,BIG D,I'm hip.
290606,L627689,u8639,m586,DREXL,"Nigger, back off, you ain't beatin' shit. Now what would you do."
290607,L627688,u8632,m586,BIG D,"Nigger, get real. You touch Jayne Kennedy she'll have you ass in Wayne County so fast -"
290608,L627684,u8632,m586,BIG D,Me thinketh he doth protest too much.
290609,L627683,u8639,m586,DREXL,"Damn skippy. He like it, too."
290610,L627674,u8639,m586,DREXL,Heard that.
290611,L627673,u8632,m586,BIG D,"Shit! Nigger you smoke enough sherm your dumb ass'll do a lot a crazy ass things. So you won't eat pussy? Motherfucker, you be up there suckin' niggers'        dicks."
290612,L627668,u8639,m586,DREXL,I heard that.
290613,L627667,u8632,m586,BIG D,"Shit, any nigger say he don't eat pussy is lyin' his ass off."
290614,L627666,u8639,m586,DREXL,Floyd say he don't be eatin' pussy.
290615,L627665,u8632,m586,BIG D,What the fuck are you talkin' about?
290616,L627692,u8632,m586,BIG D,Take that shit somewhere else.
290617,L627691,u8642,m586,FLOYD,Ain't no man have to eat pussy!
290618,L627682,u8632,m586,BIG D,"You don't like it, but you eat that shit.  He eats it."
290619,L627681,u8642,m586,FLOYD,Naw naw!
290620,L627680,u8632,m586,BIG D,So you do eat pussy!
290621,L627679,u8642,m586,FLOYD,Go on pussy-eaters... laugh. You look like you be eatin' pussy. You got pussy-eatin' mugs. Now if a nigger wants to get his dick sucked he's got to do a bunch of fucked-up shit.
290622,L627670,u8632,m586,BIG D,"Nigger, I eat everything. I eat pussy. I eat the butt. I eat every motherfuckin' thang."
290623,L627669,u8642,m586,FLOYD,"Hold on a second, Big D. You sayin' you eat pussy?"
290624,L628603,u8641,m586,ELVIS,"That's why it doesn't come across as ass-kissin', because it's genuine, and he can see that."
290625,L628602,u8633,m586,CLARENCE,"I'm not lyin' to him. I mean it. I loved ""Coming Home in a Body Bag""."
290626,L628601,u8641,m586,ELVIS,"You're tellin' him what he wants to hear, but that ain't the same thing as kissin' his ass."
290627,L628600,u8633,m586,CLARENCE,"You don't think I'm kissin' his ass, do you?"
