,LINE_ID,CHARACTER_ID,MOVIE_ID,CHARACTER_NAME,UTTERANCE
182428,L216169,u5296,m351,BREWER,"... then proceed downriver to extraction at point Echo Delta. Doyle takes us out by helicopter, we all live happily ever after and that's the last time, Rambo!  I swear to Christ."
182429,L216168,u5302,m351,RAMBO,Ninety.
182430,L216167,u5296,m351,BREWER,... to target at Ban Kia Na.  We probe the site...
182431,L216166,u5302,m351,RAMBO,Start over.
182432,L216165,u5296,m351,BREWER,Co Phuong Bao.  The guide takes us twelve klicks upriver to target at Ban... at Ban... Bo Peep.  Shit!
182433,L216164,u5302,m351,RAMBO,You stopped.
182434,L216163,u5296,m351,BREWER,Insertion.  Call in to base camp by TRANSAT.  Proceed to point Tango November for rendezvous with our ground contact.  Indigenous agent. Co Phuong Bao.  We've been over this three times.
182435,L216162,u5302,m351,RAMBO,Again.
182436,L216132,u5302,m351,RAMBO,No.
182437,L216131,u5296,m351,BREWER,Ever do this from a jet?
182438,L216116,u5296,m351,BREWER,"Clown?  Now back up there, buddy..."
182439,L216115,u5302,m351,RAMBO,This clown almost blew mission security on the street.  I'm not jumping with him.
182440,L216566,u5297,m351,CO,It doesn't hurt.  Why doesn't it hurt?
182441,L216565,u5302,m351,RAMBO,John.  My name is John.
182442,L216562,u5302,m351,RAMBO,Minigun.  Come on.  Let's move. He's coming in on our open side.
182443,L216561,u5297,m351,CO,What was that?
182444,L216557,u5297,m351,CO,"Why you don't feel love?  Not allowed?  Dead inside, maybe?  You make yourself dead already so they can't kill you?  In-vulnerabo?  Bullshit!"
182445,L216556,u5302,m351,RAMBO,"Look, Co..."
182446,L216551,u5302,m351,RAMBO,How?
182447,L216550,u5297,m351,CO,Yes you can.
182448,L216549,u5302,m351,RAMBO,I couldn't get you in.
182449,L216548,u5297,m351,CO,I know.  I go with you.
182450,L216547,u5302,m351,RAMBO,How you going to get there?  You can't trust the spooks to pull you out.  They'll use you up and throw you away.
182451,L216546,u5297,m351,CO,"Go United States.  See Nguyen. Maybe teach economics.  Buy Cadillac.  Watch ""Dynasty."""
182452,L216545,u5302,m351,RAMBO,Yeah.  Got some business there. What are you gonna do?
182453,L216544,u5297,m351,CO,You try get across Laos?  Get to Thailand?
182454,L216541,u5297,m351,CO,In-vul-nerabo.  But you get ass kicked without me.
182455,L216540,u5302,m351,RAMBO,Invulnerable.
182456,L216539,u5297,m351,CO,You think you are... .
182457,L216538,u5302,m351,RAMBO,I do?
182458,L216537,u5297,m351,CO,"Carefully.  Don't want to get shot by you.  Bad karma.  Anyway, you need me."
182459,L216536,u5302,m351,RAMBO,And how'd you sneak up like that?
182460,L216535,u5297,m351,CO,"Took bus, most of way.  I knew you would come here."
