,LINE_ID,CHARACTER_ID,MOVIE_ID,CHARACTER_NAME,UTTERANCE
218582,L368726,u6484,m431,GRAHAM,...I'm going to see Lecktor.
218583,L368725,u6480,m431,CRAWFORD,See? You do know something about him.
218584,L368724,u6484,m431,GRAHAM,"Because he has a genuine taste for it, Jack."
218585,L368723,u6480,m431,CRAWFORD,Why?
218586,L368722,u6484,m431,GRAHAM,You think I'm gonna spot him 'across a crowded room?'  That's Ezio Pinza you're thinking about.  The Tooth Fairy will go on until we get smart or get lucky. He won't stop.
218587,L368721,u6480,m431,CRAWFORD,No other possibilities?
218588,L368720,u6484,m431,GRAHAM,He makes noise going in and the husband gets to a gun in time.
218589,L368719,u6480,m431,CRAWFORD,"We're running it through the computers now. So far there's no event or service that doubles back into both families. Plus they were big consumers: snowmobiles, fishing trips, scuba, videogames, lots of routine medical and dental. It's a haystack.  What's the other?"
218590,L368718,u6484,m431,GRAHAM,"We find an event that connects both families. Same vacation hotel; same hospital, different times. Then we check employees and come up with a male nurse, hairdresser, whatever...  If we find out how he found them, then we'll find him."
218591,L368717,u6480,m431,CRAWFORD,What's one way?
218592,L368716,u6484,m431,GRAHAM,"Don't expect too much from me, Jack, all right?  We'll get him one way or the other."
218593,L368715,u6480,m431,CRAWFORD,You can tell something about him or we wouldn't have found the finger print...
218594,L368714,u6484,m431,GRAHAM,"I don't know, Jack. He's got no face for me."
218595,L368713,u6480,m431,CRAWFORD,Say we've arrested a good suspect. You walk in and see him. What is there about him that doesn't surprise you?
218596,L368712,u6484,m431,GRAHAM,Atlanta and Birmingham can run the thumb print against known sex offenders. Five will get you ten they don't come up with an identification. Jimmie may in the Finder program... if he's ever been printed and in his Index.
218597,L368711,u6480,m431,CRAWFORD,I know...
218598,L368710,u6484,m431,GRAHAM,"...snuck in the hospital while I was sedated, flipped back the sheets and shot pictures. The only decent thing he did was run a black square over my balls..."
218599,L368695,u6484,m431,GRAHAM,Why don't you get Birmingham P.D. a methane probe out of D.C. and have them cover the backyard...  maybe the cat's dead and the kids buried it.
218600,L368694,u6480,m431,CRAWFORD,A cat. We found a litter box downstairs but not the cat.  Neighbors are watching for it.
218601,L368659,u6484,m431,GRAHAM,"Mrs. Leeds' fingernails and toenails. I think he took off his gloves, Jack.  And dust all the corneas of all their eyes."
218602,L368658,u6480,m431,CRAWFORD,What do you want to do?
218603,L368657,u6484,m431,GRAHAM,He is good. Bur not as good as Price.
218604,L368656,u6480,m431,CRAWFORD,You said the guy down here is good.
218605,L368655,u6484,m431,GRAHAM,Get him to Atlanta.
