,LINE_ID,CHARACTER_ID,MOVIE_ID,CHARACTER_NAME,UTTERANCE
144941,L110857,u4251,m283,SPOOR,"Tuttle! ... mumble!  You've had that scab Tuttle here, haven't you?"
144942,L110856,u4233,m283,DOWSER,Mumble ... Tuttle ...
144943,L110855,u4251,m283,SPOOR,Mumble ... mumble ... mumble ... Tuttle
144944,L110854,u4233,m283,DOWSER,Got there!
144945,L110853,u4251,m283,SPOOR,What have you got there?
144946,L110731,u4233,m283,DOWSER,... have a look.
144947,L110730,u4251,m283,SPOOR,I think we'd better have a look.
144948,L110728,u4233,m283,DOWSER,"...ampered. with it, Spoor."
144949,L110727,u4251,m283,SPOOR,"He's tampered with it, Dowser."
144950,L110726,u4233,m283,DOWSER,... fix themselves.
144951,L110725,u4251,m283,SPOOR,Machines don't fix themselves.
144952,L110724,u4233,m283,DOWSER,...ixed itself.
144953,L110718,u4233,m283,DOWSER,...ditioning.
144954,L110717,u4251,m283,SPOOR,Trouble with your air-conditioning.
144955,L110716,u4233,m283,DOWSER,...elephoned sir.
144956,L110715,u4251,m283,SPOOR,"You telephone, sir."
144957,L110678,u4234,m283,GENT,You must save the day.
144958,L110677,u4249,m283,SAM,What do I have to do.
144959,L110676,u4234,m283,GENT,"Well not exactly. But, if you help us we'll help you. The Forces Of Darkness have won the day ... but, tomorrow is another one"
144960,L110675,u4249,m283,SAM,What? You mean you've got ...
144961,L110674,u4234,m283,GENT,"Oh, yes. We've got everything here. Every bit of knowledge, wisdom, learning ... every experience, every thought neatly filed away."
144962,L110673,u4234,m283,GENT,We know that too. You've come to the right place.
144963,L110672,u4249,m283,SAM,Then perhaps you can help me. I've lost someone who ...
144964,L110671,u4234,m283,GENT,We know everything here. This is the Storeroom of Knowledge.
144965,L110670,u4249,m283,SAM,What? How do you know my name?
144966,L110669,u4234,m283,GENT,"Ah ha ... there you are, Sam."
144967,L110881,u4235,m283,GIRL,Do you mind if I use your bathroom?
144968,L110880,u4249,m283,SAM,"Yes, it was ... very nice ... thank you."
144969,L110879,u4235,m283,GIRL,"Yes, I know. It's the backlog, everybody complains. Was it all right otherwise?"
144970,L110878,u4249,m283,SAM,Aren't you a bit late? - the party started half an hour ago.
144971,L110877,u4249,m283,SAM,"Oh, right ..."
144972,L110876,u4235,m283,GIRL,You don't have to sing it.
144973,L110875,u4249,m283,SAM,"Oh ...  Thank you very much, mother, but actually -"
144974,L110874,u4235,m283,GIRL,It's reply paid.
144975,L110873,u4249,m283,SAM,Er ... Thanks ...
144976,L110822,u4249,m283,SAM,He will be pleased when he comes home.
144977,L110821,u4236,m283,GIRL BUTTLE,I'm waiting for my daddy.
144978,L110820,u4249,m283,SAM,Jill Layton ...  You're a very good little girl. What are you doing here?
144979,L110819,u4236,m283,GIRL BUTTLE,Layton.
144980,L110818,u4249,m283,SAM,What? ...Jill? Jill who? Jill who?
144981,L110817,u4236,m283,GIRL BUTTLE,Her name is Jill.
144982,L110816,u4249,m283,SAM,Go away.
144983,L110508,u4237,m283,HELPMANN,"Thank you, David ... and a very merry Christmas to you all."
144984,L110507,u4238,m283,INTERVIEWER,"Thank you very much, Deputy Minister."
144985,L110506,u4237,m283,HELPMANN,Beginner's luck.
144986,L110505,u4238,m283,INTERVIEWER,But the bombing campaign is now in its thirteenth year ...
144987,L110504,u4237,m283,HELPMANN,"On yes. Our morale is much higher than theirs, we're fielding all their strokes, running a lot of them out, and pretty consistently knocking them for six. I'd say they're nearly out of the game."
144988,L110503,u4238,m283,INTERVIEWER,Do you think that the government is winning the battle against terrorists?
144989,L110501,u4237,m283,HELPMANN,I understand this concern on behalf of the tax-payers. People want value for money and a cost-effective service.
144990,L110500,u4238,m283,INTERVIEWER,"And the cost of it all, Deputy Minister? Seven percent of the gross national produce ..."
144991,L110499,u4237,m283,HELPMANN,David ... in a free society information is the name of the game. You can't win the game if you're a man short.
144992,L110498,u4238,m283,INTERVIEWER,"Mr. HELPMANN, what would you say to those critics who maintain that the Ministry Of Information has become too large and unwieldy ...?"
144993,L110497,u4237,m283,HELPMANN,"- In fact, killing people - they'd get a lot more out of life."
144994,L110496,u4238,m283,INTERVIEWER,"In fact, killing people -"
