,LINE_ID,CHARACTER_ID,MOVIE_ID,CHARACTER_NAME,UTTERANCE
0,L1045,u0,m0,BIANCA,They do not!
1,L1044,u2,m0,CAMERON,They do to!
2,L985,u0,m0,BIANCA,I hope so.
3,L984,u2,m0,CAMERON,She okay?
4,L925,u0,m0,BIANCA,Let's go.
5,L924,u2,m0,CAMERON,Wow
6,L872,u0,m0,BIANCA,Okay -- you're gonna need to learn how to lie.
7,L871,u2,m0,CAMERON,No
8,L870,u0,m0,BIANCA,"I'm kidding.  You know how sometimes you just become this ""persona""?  And you don't know how to quit?"
9,L869,u0,m0,BIANCA,Like my fear of wearing pastels?
10,L868,u2,m0,CAMERON,"The ""real you""."
11,L867,u0,m0,BIANCA,What good stuff?
12,L866,u2,m0,CAMERON,I figured you'd get to the good stuff eventually.
13,L865,u2,m0,CAMERON,Thank God!  If I had to hear one more story about your coiffure...
14,L864,u0,m0,BIANCA,"Me.  This endless ...blonde babble. I'm like, boring myself."
15,L863,u2,m0,CAMERON,What crap?
16,L862,u0,m0,BIANCA,do you listen to this crap?
17,L861,u2,m0,CAMERON,No...
18,L860,u0,m0,BIANCA,"Then Guillermo says, ""If you go any lighter, you're gonna look like an extra on 90210."""
19,L699,u2,m0,CAMERON,You always been this selfish?
20,L698,u0,m0,BIANCA,But
21,L697,u2,m0,CAMERON,Then that's all you had to say.
22,L696,u0,m0,BIANCA,"Well, no..."
23,L695,u2,m0,CAMERON,"You never wanted to go out with 'me, did you?"
24,L694,u0,m0,BIANCA,I was?
25,L693,u2,m0,CAMERON,"I looked for you back at the party, but you always seemed to be ""occupied""."
26,L663,u0,m0,BIANCA,Tons
27,L662,u2,m0,CAMERON,Have fun tonight?
28,L578,u2,m0,CAMERON,I believe we share an art instructor
29,L577,u0,m0,BIANCA,You know Chastity?
30,L576,u2,m0,CAMERON,"Looks like things worked out tonight, huh?"
31,L575,u0,m0,BIANCA,Hi.
32,L407,u0,m0,BIANCA,Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes.
33,L406,u2,m0,CAMERON,So that's the kind of guy she likes? Pretty ones?
34,L405,u0,m0,BIANCA,"Lesbian?  No. I found a picture of Jared Leto in one of her drawers, so I'm pretty sure she's not harboring same-sex tendencies."
35,L404,u2,m0,CAMERON,She's not a...
36,L403,u2,m0,CAMERON,I'm workin' on it. But she doesn't seem to be goin' for him.
37,L402,u0,m0,BIANCA,"I really, really, really wanna go, but I can't.  Not unless my sister goes."
38,L401,u2,m0,CAMERON,Sure have.
39,L368,u0,m0,BIANCA,"Eber's Deep Conditioner every two days. And I never, ever use a blowdryer without the diffuser attachment."
40,L367,u2,m0,CAMERON,How do you get your hair to look like that?
41,L366,u0,m0,BIANCA,You're sweet.
42,L365,u2,m0,CAMERON,You have my word.  As a gentleman
43,L364,u0,m0,BIANCA,I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?
44,L363,u2,m0,CAMERON,You got something on your mind?
45,L281,u0,m0,BIANCA,Where?
46,L280,u2,m0,CAMERON,There.
47,L277,u2,m0,CAMERON,"Well, there's someone I think might be --"
48,L276,u0,m0,BIANCA,How is our little Find the Wench A Date plan progressing?
49,L275,u0,m0,BIANCA,Forget French.
50,L274,u2,m0,CAMERON,That's because it's such a nice one.
51,L273,u0,m0,BIANCA,I don't want to know how to say that though.  I want to know useful things. Like where the good stores are.  How much does champagne cost?  Stuff like Chat.  I have never in my life had to point out my head to someone.
52,L272,u2,m0,CAMERON,Right.  See?  You're ready for the quiz.
53,L271,u0,m0,BIANCA,C'esc ma tete. This is my head
54,L208,u2,m0,CAMERON,Let me see what I can do.
55,L207,u0,m0,BIANCA,"Gosh, if only we could find Kat a boyfriend..."
56,L206,u2,m0,CAMERON,That's a shame.
57,L205,u0,m0,BIANCA,"Unsolved mystery.  She used to be really popular when she started high school, then it was just like she got sick of it or something."
58,L204,u2,m0,CAMERON,Why?
59,L203,u2,m0,CAMERON,Seems like she could get a date easy enough...
60,L202,u0,m0,BIANCA,"The thing is, Cameron -- I'm at the mercy of a particularly hideous breed of loser.  My sister.  I can't date until she does."
61,L201,u2,m0,CAMERON,Cameron.
62,L200,u0,m0,BIANCA,"No, no, it's my fault -- we didn't have a proper introduction ---"
63,L199,u2,m0,CAMERON,Forget it.
64,L198,u0,m0,BIANCA,You're asking me out.  That's so cute. What's your name again?
65,L197,u2,m0,CAMERON,Okay... then how 'bout we try out some French cuisine.  Saturday?  Night?
66,L196,u0,m0,BIANCA,Not the hacking and gagging and spitting part.  Please.
67,L195,u2,m0,CAMERON,"Well, I thought we'd start with pronunciation, if that's okay with you."
